away_team,away_team_errors,away_team_hits,away_team_runs,date,game_duration,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,attendance
Arizona Diamondbacks,0,10,4,5,218.4,"Night Game, on grass",Los Angeles Dodgers,0,8,2,18, Dodger Stadium,49540
Houston Astros,2,5,2,5,198.4,"Night Game, on grass",Detroit Tigers,0,7,3,19, Comerica Park,34673
Oakland Athletics,0,8,3,5,182.4,"Night Game, on grass",Cleveland Indians,0,12,6,19, Progressive Field,32850
Seattle Mariners,1,5,4,5,179.20000000000002,"Day Game, on grass",Chicago Cubs,1,3,1,13, Wrigley Field,41401
Philadelphia Phillies,0,9,9,5,244.0,"Night Game, on grass",Atlanta Braves,2,14,5,19, Turner Field,38236
Boston Red Sox,0,6,2,5,189.6,"Night Game, on grass",Los Angeles Angels of Anaheim,0,8,5,18, Angel Stadium of Anaheim,43150
Miami Marlins,0,9,2,1,196.8,"Night Game, on grass",Chicago Cubs,1,9,3,19, Wrigley Field,40419
Toronto Blue Jays,0,5,2,5,177.6,"Night Game, on grass",Kansas City Royals,1,11,4,18, Kauffman Stadium,35986
Texas Rangers,0,13,3,5,191.2,"Night Game, on grass",Houston Astros,0,9,2,18, Minute Maid Park,42272
New York Mets,0,14,5,5,210.4,"Night Game, on grass",Detroit Tigers,3,10,6,19, Comerica Park,41053
Miami Marlins,0,10,6,5,220.0,"Night Game, on grass",Colorado Rockies,1,17,12,18, Coors Field,37699
Baltimore Orioles,0,6,2,5,209.6,"Night Game, on grass",Chicago White Sox,1,10,4,18, U.S. Cellular Field,28491
Milwaukee Brewers,3,19,15,5,240.0,"Night Game, on grass",Arizona Diamondbacks,0,8,6,17, Chase Field,29370
San Francisco Giants,1,4,1,4,161.6,"Night Game, on grass",Washington Nationals,0,6,5,19, Nationals Park,34036
Minnesota Twins,0,10,6,4,211.2,"Night Game, on turf",Tampa Bay Rays,1,7,2,19, Tropicana Field,12161
Atlanta Braves,0,3,0,4,164.79999999999998,"Night Game, on grass",St. Louis Cardinals,0,2,1,19, Busch Stadium III,42421
Los Angeles Angels of Anaheim,1,3,4,4,203.2,"Night Game, on grass",Seattle Mariners,1,14,6,19, Safeco Field,40354
Philadelphia Phillies,0,6,5,4,208.0,"Night Game, on grass",San Diego Padres,0,10,4,19, Petco Park,27521
Cincinnati Reds,2,6,2,4,186.4,"Night Game, on grass",Pittsburgh Pirates,0,6,3,19, PNC Park,28882
New York Yankees,0,7,3,1,200.79999999999998,"Night Game, on grass",Boston Red Sox,1,9,5,19, Fenway Park,38089
Houston Astros,0,12,5,4,198.4,"Night Game, on turf",Toronto Blue Jays,1,7,3,19, Rogers Centre,46330
Detroit Tigers,0,7,5,4,180.0,"Night Game, on grass",Texas Rangers,2,13,8,21, Globe Life Park in Arlington,31190
Baltimore Orioles,0,10,5,4,181.6,"Night Game, on grass",San Francisco Giants,1,5,2,19, AT&T Park,41479
Colorado Rockies,3,8,6,4,220.0,"Night Game, on grass",Philadelphia Phillies,1,11,10,19, Citizens Bank Park,23600
Seattle Mariners,0,4,3,4,150.4,"Night Game, on grass",Oakland Athletics,0,12,6,19, Oakland-Alameda County Coliseum,14073
San Diego Padres,0,6,8,4,191.2,"Night Game, on grass",New York Mets,0,8,6,19, Citi Field,24422
Tampa Bay Rays,0,4,3,4,201.6,"Night Game, on grass",New York Yankees,0,8,6,20, Yankee Stadium III,46459
Kansas City Royals,0,11,7,4,196.8,"Night Game, on grass",Minnesota Twins,1,5,3,20, Target Field,24617
Cincinnati Reds,1,12,7,4,216.8,"Night Game, on grass",Milwaukee Brewers,2,6,4,19, Miller Park,24553
Chicago White Sox,0,12,4,4,215.20000000000002,"Night Game, on grass",Miami Marlins,0,4,2,19, Marlins Park,21090
Pittsburgh Pirates,0,7,5,4,211.2,"Night Game, on grass",Los Angeles Dodgers,0,12,1,19, Dodger Stadium,47438
Los Angeles Angels of Anaheim,2,8,3,4,200.79999999999998,"Night Game, on grass",Cleveland Indians,0,17,13,19, Progressive Field,27014
Seattle Mariners,0,9,3,0,181.6,"Night Game, on grass",Los Angeles Angels of Anaheim,0,4,2,19, Angel Stadium of Anaheim,35840
Toronto Blue Jays,2,5,2,4,163.2,"Night Game, on grass",Cleveland Indians,0,6,3,19, Progressive Field,30665
Los Angeles Dodgers,0,10,2,4,242.4,"Night Game, on grass",Cincinnati Reds,0,12,9,19, Great American Ball Park,28184
Oakland Athletics,1,11,9,4,156.8,"Night Game, on grass",Chicago White Sox,1,2,0,19, U.S. Cellular Field,20011
Houston Astros,1,18,15,4,184.79999999999998,"Night Game, on grass",Baltimore Orioles,0,10,8,19, Oriole Park at Camden Yards,34422
Washington Nationals,2,12,7,4,237.6,"Night Game, on grass",Atlanta Braves,2,7,6,19, Turner Field,30292
New York Yankees,0,15,7,4,208.0,"Night Game, on grass",Los Angeles Angels of Anaheim,1,6,0,19, Angel Stadium of Anaheim,40256
New York Mets,0,13,7,3,228.0,"Night Game, on grass",San Francisco Giants,0,17,10,19, AT&T Park,41517
Arizona Diamondbacks,1,14,8,3,258.4,"Night Game, on grass",San Diego Padres,1,12,9,19, Petco Park,32103
Los Angeles Dodgers,1,7,4,3,206.4,"Night Game, on grass",Philadelphia Phillies,0,9,5,19, Citizens Bank Park,29187
Minnesota Twins,1,5,1,3,144.0,"Night Game, on grass",Kansas City Royals,0,7,8,19, Kauffman Stadium,30599
Boston Red Sox,0,9,3,3,216.8,"Day Game, on grass",Detroit Tigers,0,10,4,13, Comerica Park,34649
Chicago White Sox,1,6,4,3,180.0,"Night Game, on grass",Cleveland Indians,0,12,5,19, Progressive Field,12982
Minnesota Twins,1,8,1,6,160.0,"Day Game, on grass",Kansas City Royals,1,4,2,13, Kauffman Stadium,32996
Pittsburgh Pirates,1,7,5,4,221.6,"Night Game, on grass",Milwaukee Brewers,2,7,3,19, Miller Park,25474
San Diego Padres,2,6,6,4,263.2,"Night Game, on grass",Miami Marlins,1,13,7,19, Marlins Park,17775
Chicago Cubs,1,9,6,4,240.79999999999998,"Night Game, on grass",Los Angeles Dodgers,0,9,4,19, Dodger Stadium,48609
Tampa Bay Rays,1,8,4,4,182.4,"Night Game, on grass",Houston Astros,0,6,5,19, Minute Maid Park,25852
Los Angeles Angels of Anaheim,0,4,2,4,200.0,"Night Game, on grass",Detroit Tigers,0,9,4,19, Comerica Park,31357
Seattle Mariners,0,5,3,4,155.20000000000002,"Night Game, on grass",Chicago White Sox,0,8,1,19, U.S. Cellular Field,25651
Kansas City Royals,1,9,6,4,202.4,"Night Game, on grass",Boston Red Sox,0,15,3,19, Fenway Park,38134
Cincinnati Reds,0,12,3,4,255.20000000000002,"Night Game, on grass",Arizona Diamondbacks,0,7,4,18, Chase Field,26087
Baltimore Orioles,0,3,0,3,188.8,"Night Game, on grass",Washington Nationals,0,10,4,19, Nationals Park,39722
Los Angeles Angels of Anaheim,1,11,6,3,189.6,"Night Game, on turf",Toronto Blue Jays,0,7,3,19, Rogers Centre,46273
Cleveland Indians,2,2,0,3,174.39999999999998,"Night Game, on grass",Texas Rangers,0,8,9,19, Globe Life Park in Arlington,23768
Boston Red Sox,0,7,1,3,171.2,"Day Game, on turf",Tampa Bay Rays,0,7,2,13, Tropicana Field,12059
Baltimore Orioles,0,10,5,6,191.2,"Day Game, on grass",New York Yankees,0,8,0,13, Yankee Stadium III,38002
Toronto Blue Jays,2,6,3,4,203.2,"Night Game, on turf",Tampa Bay Rays,0,8,8,19, Tropicana Field,12602
Los Angeles Angels of Anaheim,2,10,8,4,220.0,"Night Game, on grass",Seattle Mariners,1,13,11,19, Safeco Field,16775
Milwaukee Brewers,1,3,1,4,181.6,"Night Game, on grass",Pittsburgh Pirates,1,7,0,19, PNC Park,21772
Atlanta Braves,0,13,8,4,224.79999999999998,"Night Game, on grass",Philadelphia Phillies,1,9,4,19, Citizens Bank Park,17175
Boston Red Sox,0,17,16,4,223.2,"Night Game, on grass",Oakland Athletics,2,6,2,19, Oakland-Alameda County Coliseum,21376
Washington Nationals,0,8,4,4,191.2,"Night Game, on grass",New York Mets,0,4,1,19, Citi Field,32040
Chicago White Sox,1,17,11,4,214.39999999999998,"Night Game, on grass",Minnesota Twins,1,8,4,19, Target Field,20806
San Diego Padres,1,6,4,4,231.2,"Night Game, on grass",Los Angeles Dodgers,1,13,2,19, Dodger Stadium,48911
Detroit Tigers,2,13,7,4,224.79999999999998,"Night Game, on grass",Kansas City Royals,0,11,6,19, Kauffman Stadium,25008
Arizona Diamondbacks,2,10,7,4,197.6,"Night Game, on grass",Colorado Rockies,2,14,14,18, Coors Field,23002
Miami Marlins,0,8,2,4,198.4,"Night Game, on grass",Cleveland Indians,0,7,6,19, Progressive Field,24415
St. Louis Cardinals,1,6,2,4,211.2,"Night Game, on grass",Cincinnati Reds,0,11,3,19, Great American Ball Park,21441
Houston Astros,1,11,6,0,250.4,"Night Game, on grass",Cleveland Indians,2,7,2,19, Progressive Field,13062
New York Mets,0,7,3,5,218.4,"Night Game, on grass",Atlanta Braves,2,8,4,19, Turner Field,47841
San Francisco Giants,0,19,11,5,194.39999999999998,"Night Game, on grass",Arizona Diamondbacks,0,5,3,17, Chase Field,32301
Texas Rangers,1,12,8,5,244.0,"Night Game, on grass",Los Angeles Angels of Anaheim,0,9,5,18, Angel Stadium of Anaheim,39146
Philadelphia Phillies,0,7,4,4,229.6,"Night Game, on grass",Washington Nationals,0,9,5,19, Nationals Park,28469
Boston Red Sox,1,18,13,4,216.8,"Night Game, on turf",Toronto Blue Jays,2,9,3,19, Rogers Centre,46953
Milwaukee Brewers,1,9,3,4,174.39999999999998,"Night Game, on grass",St. Louis Cardinals,1,5,4,19, Busch Stadium III,42647
Colorado Rockies,0,9,4,4,180.79999999999998,"Night Game, on grass",San Diego Padres,0,5,1,19, Petco Park,25015
Cincinnati Reds,0,10,4,4,181.6,"Night Game, on grass",Pittsburgh Pirates,0,10,3,19, PNC Park,24520
Seattle Mariners,0,6,3,4,214.39999999999998,"Night Game, on grass",Oakland Athletics,0,7,2,19, Oakland-Alameda County Coliseum,19385
Tampa Bay Rays,0,12,5,4,228.0,"Night Game, on grass",New York Yankees,0,9,7,19, Yankee Stadium III,30194
Cleveland Indians,1,9,5,4,191.2,"Night Game, on grass",Minnesota Twins,2,6,4,19, Target Field,20173
Los Angeles Dodgers,0,7,1,4,192.8,"Night Game, on grass",Miami Marlins,0,8,4,19, Marlins Park,22940
Seattle Mariners,1,11,8,0,192.8,"Night Game, on grass",Los Angeles Angels of Anaheim,1,6,1,19, Angel Stadium of Anaheim,29932
Houston Astros,0,10,6,4,212.8,"Night Game, on grass",Seattle Mariners,2,3,0,19, Safeco Field,30178
Miami Marlins,0,13,3,4,308.79999999999995,"Night Game, on grass",Philadelphia Phillies,1,13,4,19, Citizens Bank Park,18179
Minnesota Twins,0,3,0,4,185.60000000000002,"Night Game, on grass",New York Mets,1,7,3,19, Citi Field,33338
Chicago White Sox,1,11,7,4,180.0,"Night Game, on grass",Kansas City Royals,0,7,4,19, Kauffman Stadium,29318
San Diego Padres,1,10,7,4,229.6,"Night Game, on grass",Colorado Rockies,0,14,8,18, Coors Field,30451
Detroit Tigers,3,5,4,4,229.6,"Night Game, on grass",Cleveland Indians,0,14,11,19, Progressive Field,29137
Pittsburgh Pirates,1,12,9,4,268.0,"Night Game, on grass",Cincinnati Reds,0,9,7,19, Great American Ball Park,20238
Milwaukee Brewers,1,10,4,4,200.79999999999998,"Day Game, on grass",Chicago Cubs,1,11,5,13, Wrigley Field,40823
New York Yankees,0,9,4,4,200.79999999999998,"Night Game, on grass",Boston Red Sox,0,12,7,19, Fenway Park,37927
Tampa Bay Rays,2,10,4,4,190.4,"Night Game, on grass",Baltimore Orioles,1,9,5,19, Oriole Park at Camden Yards,30094
Washington Nationals,1,12,7,4,202.4,"Night Game, on grass",Atlanta Braves,0,9,2,19, Turner Field,33618
Oakland Athletics,1,8,5,6,197.6,"Day Game, on grass",Texas Rangers,0,8,2,14, Globe Life Park in Arlington,34224
New York Yankees,2,3,0,4,189.6,"Night Game, on turf",Toronto Blue Jays,1,13,9,19, Rogers Centre,47016
Boston Red Sox,0,9,2,4,203.2,"Night Game, on turf",Tampa Bay Rays,0,6,1,19, Tropicana Field,20543
San Francisco Giants,0,4,2,4,206.4,"Night Game, on grass",San Diego Padres,0,8,7,19, Petco Park,28404
Washington Nationals,0,13,5,4,297.6,"Night Game, on grass",Pittsburgh Pirates,3,12,6,19, PNC Park,29513
Texas Rangers,0,4,3,4,150.4,"Night Game, on grass",Oakland Athletics,0,7,0,18, Oakland-Alameda County Coliseum,26367
Philadelphia Phillies,2,10,5,4,244.0,"Night Game, on grass",New York Mets,1,10,10,19, Citi Field,37873
Seattle Mariners,0,13,10,4,186.4,"Night Game, on grass",Minnesota Twins,2,5,1,19, Target Field,22683
Cincinnati Reds,1,9,4,4,196.8,"Night Game, on grass",Milwaukee Brewers,2,8,5,19, Miller Park,35364
Atlanta Braves,0,9,3,4,192.8,"Night Game, on grass",Miami Marlins,2,3,2,19, Marlins Park,23924
Colorado Rockies,0,8,2,4,242.4,"Night Game, on grass",Los Angeles Dodgers,2,8,5,19, Dodger Stadium,52320
Los Angeles Angels of Anaheim,2,12,10,4,218.4,"Night Game, on grass",Houston Astros,0,8,6,19, Minute Maid Park,29429
Kansas City Royals,3,11,3,4,196.0,"Night Game, on grass",Detroit Tigers,0,9,8,19, Comerica Park,29480
Oakland Athletics,0,4,1,0,176.0,"Night Game, on grass",Los Angeles Angels of Anaheim,0,6,2,19, Angel Stadium of Anaheim,29934
Los Angeles Dodgers,0,9,3,4,204.0,"Night Game, on grass",San Francisco Giants,0,13,9,19, AT&T Park,41359
Oakland Athletics,0,2,1,4,176.0,"Night Game, on grass",Seattle Mariners,1,7,5,19, Safeco Field,24088
New York Mets,0,9,5,4,204.79999999999998,"Night Game, on grass",Philadelphia Phillies,1,7,1,19, Citizens Bank Park,20556
Baltimore Orioles,1,10,8,4,221.6,"Night Game, on grass",New York Yankees,1,3,1,19, Yankee Stadium III,33955
Cleveland Indians,0,10,7,4,177.6,"Night Game, on grass",Kansas City Royals,2,5,2,19, Kauffman Stadium,24741
Milwaukee Brewers,0,8,1,4,168.0,"Night Game, on grass",Colorado Rockies,0,10,4,18, Coors Field,41068
Chicago Cubs,0,8,7,4,182.4,"Night Game, on grass",Cincinnati Reds,0,5,3,19, Great American Ball Park,27368
Minnesota Twins,0,6,3,4,209.6,"Night Game, on grass",Chicago White Sox,1,12,7,19, U.S. Cellular Field,19007
Toronto Blue Jays,2,10,3,4,220.0,"Night Game, on grass",Boston Red Sox,0,10,5,19, Fenway Park,37661
Detroit Tigers,0,11,6,4,213.6,"Night Game, on grass",Atlanta Braves,0,6,2,19, Turner Field,41500
San Diego Padres,0,9,3,4,201.6,"Night Game, on grass",Arizona Diamondbacks,3,6,5,18, Chase Field,42651
Houston Astros,1,8,1,4,184.0,"Night Game, on grass",Los Angeles Angels of Anaheim,0,6,7,19, Angel Stadium of Anaheim,30112
Miami Marlins,0,14,7,6,237.6,"Day Game, on grass",Washington Nationals,0,10,10,15, Nationals Park,28730
Chicago Cubs,3,13,8,2,284.8,"Night Game, on grass",Cleveland Indians,1,11,7,20, Progressive Field,38104
Chicago Cubs,0,13,9,1,226.4,"Night Game, on grass",Cleveland Indians,1,6,3,20, Progressive Field,38116
Cleveland Indians,1,6,2,6,223.2,"Night Game, on grass",Chicago Cubs,0,7,3,19, Wrigley Field,41711
Cleveland Indians,0,10,7,5,205.60000000000002,"Night Game, on grass",Chicago Cubs,2,7,2,19, Wrigley Field,41706
Cleveland Indians,1,8,1,4,232.8,"Night Game, on grass",Chicago Cubs,0,5,0,19, Wrigley Field,41703
Chicago Cubs,0,9,5,2,246.4,"Night Game, on grass",Cleveland Indians,2,4,1,19, Progressive Field,38172
Chicago Cubs,0,7,0,1,239.20000000000002,"Night Game, on grass",Cleveland Indians,0,10,6,20, Progressive Field,38091
Los Angeles Dodgers,1,2,0,5,177.6,"Night Game, on grass",Chicago Cubs,1,7,5,19, Wrigley Field,42386
Chicago Cubs,0,13,8,3,265.6,"Night Game, on grass",Los Angeles Dodgers,1,9,4,20, Dodger Stadium,54449
Cleveland Indians,0,6,3,2,179.20000000000002,"Day Game, on turf",Toronto Blue Jays,1,6,0,16, Rogers Centre,48800
Chicago Cubs,2,13,10,2,272.8,"Night Game, on grass",Los Angeles Dodgers,4,6,2,17, Dodger Stadium,54449
Cleveland Indians,1,2,1,1,181.6,"Day Game, on turf",Toronto Blue Jays,0,9,5,16, Rogers Centre,49142
Chicago Cubs,0,4,0,1,208.8,"Night Game, on grass",Los Angeles Dodgers,0,10,6,17, Dodger Stadium,54269
Cleveland Indians,0,7,4,0,216.8,"Night Game, on turf",Toronto Blue Jays,0,7,2,20, Rogers Centre,49507
Los Angeles Dodgers,1,3,1,6,192.0,"Night Game, on grass",Chicago Cubs,0,2,0,19, Wrigley Field,42384
Toronto Blue Jays,1,3,1,5,190.4,"Day Game, on grass",Cleveland Indians,0,4,2,16, Progressive Field,37870
Los Angeles Dodgers,0,9,4,5,239.20000000000002,"Night Game, on grass",Chicago Cubs,0,9,8,19, Wrigley Field,42376
Toronto Blue Jays,0,7,0,4,190.4,"Night Game, on grass",Cleveland Indians,0,6,2,20, Progressive Field,37727
Los Angeles Dodgers,0,8,4,3,291.20000000000005,"Night Game, on grass",Washington Nationals,0,7,3,20, Nationals Park,43936
Chicago Cubs,0,6,6,1,220.0,"Night Game, on grass",San Francisco Giants,2,11,5,17, AT&T Park,43166
Washington Nationals,0,8,5,1,250.4,"Day Game, on grass",Los Angeles Dodgers,0,7,6,14, Dodger Stadium,49617
Chicago Cubs,2,10,5,0,306.4,"Night Game, on grass",San Francisco Giants,1,13,6,18, AT&T Park,43571
Washington Nationals,0,9,8,0,259.20000000000005,"Day Game, on grass",Los Angeles Dodgers,1,6,3,13, Dodger Stadium,53901
Cleveland Indians,0,7,4,0,245.60000000000002,"Night Game, on grass",Boston Red Sox,0,8,3,18, Fenway Park,39530
Los Angeles Dodgers,0,8,2,6,268.0,"Day Game, on grass",Washington Nationals,0,9,5,13, Nationals Park,43826
Texas Rangers,1,4,6,6,213.6,"Night Game, on turf",Toronto Blue Jays,0,10,7,19, Rogers Centre,49555
San Francisco Giants,1,6,2,5,184.79999999999998,"Night Game, on grass",Chicago Cubs,3,9,5,19, Wrigley Field,42392
Los Angeles Dodgers,1,8,4,4,253.6,"Night Game, on grass",Washington Nationals,0,9,3,17, Nationals Park,43915
Toronto Blue Jays,0,6,5,4,228.0,"Day Game, on grass",Texas Rangers,0,13,3,12, Globe Life Park in Arlington,48019
Boston Red Sox,1,3,0,4,210.4,"Day Game, on grass",Cleveland Indians,0,9,6,16, Progressive Field,37842
San Francisco Giants,0,6,0,4,168.0,"Night Game, on grass",Chicago Cubs,0,3,1,20, Wrigley Field,42148
Toronto Blue Jays,0,13,10,3,212.8,"Day Game, on grass",Texas Rangers,1,4,1,15, Globe Life Park in Arlington,47434
Boston Red Sox,0,10,4,3,232.8,"Night Game, on grass",Cleveland Indians,0,10,5,20, Progressive Field,37762
San Francisco Giants,0,5,3,2,197.6,"Night Game, on grass",New York Mets,0,4,0,20, Citi Field,44747
Baltimore Orioles,0,4,2,1,220.0,"Night Game, on turf",Toronto Blue Jays,0,9,5,20, Rogers Centre,49934
Tampa Bay Rays,0,13,6,6,240.0,"Day Game, on grass",Texas Rangers,2,11,4,14, Globe Life Park in Arlington,37015
Pittsburgh Pirates,2,9,4,6,199.20000000000002,"Day Game, on grass",St. Louis Cardinals,0,12,10,14, Busch Stadium III,44615
Los Angeles Dodgers,1,4,1,6,186.4,"Day Game, on grass",San Francisco Giants,0,16,7,12, AT&T Park,41445
Oakland Athletics,0,7,3,6,174.39999999999998,"Day Game, on grass",Seattle Mariners,0,6,2,12, Safeco Field,24856
New York Mets,3,8,2,6,182.4,"Day Game, on grass",Philadelphia Phillies,0,10,5,15, Citizens Bank Park,36935
Baltimore Orioles,0,7,5,6,171.2,"Day Game, on grass",New York Yankees,0,10,2,15, Yankee Stadium III,33277
Cleveland Indians,0,4,3,6,161.6,"Day Game, on grass",Kansas City Royals,0,6,2,14, Kauffman Stadium,29475
Milwaukee Brewers,1,10,6,6,216.8,"Day Game, on grass",Colorado Rockies,0,13,4,13, Coors Field,27762
Chicago Cubs,0,9,7,6,208.8,"Day Game, on grass",Cincinnati Reds,0,6,4,15, Great American Ball Park,32587
Minnesota Twins,0,9,6,6,181.6,"Day Game, on grass",Chicago White Sox,0,6,3,14, U.S. Cellular Field,21904
Toronto Blue Jays,0,9,2,6,202.4,"Day Game, on grass",Boston Red Sox,1,4,1,15, Fenway Park,36787
Detroit Tigers,1,5,0,6,195.20000000000002,"Day Game, on grass",Atlanta Braves,0,6,1,15, Turner Field,51220
San Diego Padres,0,7,2,6,179.20000000000002,"Day Game, on grass",Arizona Diamondbacks,0,9,3,12, Chase Field,31385
Houston Astros,0,7,1,6,187.2,"Day Game, on grass",Los Angeles Angels of Anaheim,0,9,8,12, Angel Stadium of Anaheim,28083
Miami Marlins,0,4,1,5,184.79999999999998,"Day Game, on grass",Washington Nationals,1,7,2,16, Nationals Park,31635
Tampa Bay Rays,1,5,4,5,182.4,"Night Game, on grass",Texas Rangers,1,3,1,19, Globe Life Park in Arlington,42093
Pittsburgh Pirates,0,7,3,5,199.20000000000002,"Day Game, on grass",St. Louis Cardinals,0,11,4,12, Busch Stadium III,43328
Los Angeles Dodgers,1,3,0,5,144.0,"Day Game, on grass",San Francisco Giants,0,7,3,13, AT&T Park,41320
Oakland Athletics,1,16,9,5,241.6,"Night Game, on grass",Seattle Mariners,2,13,8,18, Safeco Field,29522
New York Mets,0,11,5,5,181.6,"Day Game, on grass",Philadelphia Phillies,0,8,3,13, Citizens Bank Park,20225
Baltimore Orioles,0,9,3,5,206.4,"Day Game, on grass",New York Yankees,0,12,7,16, Yankee Stadium III,33222
Cleveland Indians,0,8,6,5,215.20000000000002,"Day Game, on grass",Kansas City Royals,1,8,3,15, Kauffman Stadium,28569
Milwaukee Brewers,1,7,4,5,221.6,"Night Game, on grass",Colorado Rockies,1,12,3,18, Coors Field,32835
Chicago Cubs,1,8,4,5,192.8,"Day Game, on grass",Cincinnati Reds,0,10,7,16, Great American Ball Park,30970
Minnesota Twins,0,5,6,5,171.2,"Night Game, on grass",Chicago White Sox,0,4,0,18, U.S. Cellular Field,25730
Toronto Blue Jays,0,4,4,5,226.4,"Night Game, on grass",Boston Red Sox,0,5,3,19, Fenway Park,37396
Detroit Tigers,0,7,3,5,201.6,"Night Game, on grass",Atlanta Braves,0,8,5,19, Turner Field,40124
San Diego Padres,3,11,5,5,193.6,"Night Game, on grass",Arizona Diamondbacks,0,10,9,17, Chase Field,32811
Houston Astros,0,10,3,5,208.0,"Night Game, on grass",Los Angeles Angels of Anaheim,1,4,0,18, Angel Stadium of Anaheim,32487
Miami Marlins,0,12,7,4,192.8,"Night Game, on grass",Washington Nationals,2,7,4,20, Nationals Park,30857
Tampa Bay Rays,0,4,1,4,180.0,"Night Game, on grass",Texas Rangers,2,10,3,19, Globe Life Park in Arlington,35968
Pittsburgh Pirates,2,5,0,4,187.2,"Night Game, on grass",St. Louis Cardinals,0,7,7,19, Busch Stadium III,43070
